,index,시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
18,359,신목종합사회복지관 경로식당,서울특별시 양천구 신목로 5 (신정동),서울특별시 양천구 신정동 1278-1,신목종합사회복지관,02-2643-7222,신목종합사회복지관,저소득 결식우려 어르신,중식(11:30-13:00),월+화+수+목+금+토,2023-01-01,2023-12-31,37.51722556,126.8764675,2024-12-12,3140000,서울특별시 양천구
19,360,신목종합사회복지관(별관)  경로식당,서울특별시 양천구 목동남로 4길 6-46 목동2차 우성A 관리사무소 지하 1층,서울특별시 양천구 신정동 1279-1,신목종합사회복지관(별관),02-2223-8825,신목종합사회복지관(별관),저소득 결식우려 어르신,중식(11:30-13:00),월+화+수+목+금+토,2023-01-01,2023-12-31,37.518426,126.876286,2024-12-12,3140000,서울특별시 양천구
20,361,한빛종합사회복지관 경로식당,서울특별시 양천구 신월로11길 16 (신월동),서울특별시 양천구 신월동 540-1,한빛종합사회복지관,02-2690-8762,한빛종합사회복지관,저소득 결식우려 어르신,중식(11:30-13:00),월+화+수+목+금+토,2023-01-01,2023-12-31,37.519038,126.840216,2024-12-12,3140000,서울특별시 양천구
21,362,신정종합사회복지관 경로식당,서울특별시 양천구 신정중앙로 36 (신정동),서울특별시 양천구 신정동 916-6,신정종합사회복지관,02-2603-1792,신정종합사회복지관,저소득 결식우려 어르신,중식(11:30-13:00),월+화+수+목+금+토,2023-01-01,2023-12-31,37.52730285,126.8555308,2024-12-12,3140000,서울특별시 양천구
22,363,목동종합사회복지관 경로식당,서울특별시 양천구 목동중앙북로8길 104 (목동),서울특별시 양천구 목동 552-1,목동종합사회복지관,02-2651-2332,목동종합사회복지관,저소득 결식우려 어르신,중식(11:30-13:00),월+화+수+목+금+토,2023-01-01,2023-12-31,37.544242,126.866384,2024-12-12,3140000,서울특별시 양천구
23,366,강남노인종합복지관,서울특별시 강남구 삼성로 628,서울특별시 강남구 삼성동 66,강남노인종합복지관,02-549-7070,강남노인종합복지관,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~13:00),월+화+수+목+금,,,37.51590994,127.0521409,2025-02-16,3220000,서울특별시 강남구
24,367,개포경로당,서울특별시 강남구 선릉로12길 12,서울특별시 강남구 개포동 169-3,사회복지법인 영산,02-565-3857,개포경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금,,,37.48370379,127.0608923,2025-02-16,3220000,서울특별시 강남구
25,368,대치1단지(일원2) 경로당,서울특별시 강남구 개포로109길 5,서울특별시 강남구 개포동 12,사회복지법인 영산,02-565-3857,대치1단지(개포3) 경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금,,,37.4923312,127.0745908,2025-02-16,3220000,서울특별시 강남구
26,369,대청경로당,서울특별시 강남구 개포로124길 24,서울특별시 강남구 일원동 621,사회복지법인 영산,02-565-3857,대청경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금,,,37.49319777,127.0830002,2025-02-16,3220000,서울특별시 강남구
27,370,세곡리엔파크4단지 경로당,서울특별시 강남구 헌릉로590길 88,서울특별시 강남구 세곡동 522,사회복지법인 영산,02-565-3857,세곡리엔파크4단지 경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금,,,37.46287702,127.1014455,2025-02-16,3220000,서울특별시 강남구
28,371,대청종합사회복지관,서울특별시 강남구 양재대로55길 10,서울특별시 강남구 일원동 711,대청종합사회복지관,02-459-6332,대청종합사회복지관,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:00~12:00),월+화+수+목+금,,,37.49315584,127.0909926,2025-02-16,3220000,서울특별시 강남구
29,372,수서종합사회복지관,서울특별시 강남구 광평로56길 11,서울특별시 강남구 수서동 723,수서종합사회복지관,02-451-7244,수서종합사회복지관,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금,,,37.48797908,127.1056314,2025-02-16,3220000,서울특별시 강남구
30,373,수서명화종합사회복지관,서울특별시 강남구 광평로51길 49,서울특별시 강남구 수서동 707,수서명화종합사회복지관,02-459-2696,수서명화종합사회복지관,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),월+화+수+목+금,,,37.49213604,127.0997527,2025-02-16,3220000,서울특별시 강남구
31,374,강남시니어플라자,서울특별시 강남구 봉은사로 332,서울특별시 강남구 역삼동 682-8,강남시니어플라자,02-558-9888,강남시니어플라자,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~13:00),월+화+수+목+금,,,37.50978671,127.0432194,2025-02-16,3220000,서울특별시 강남구
32,386,강서구립봉제산어르신복지센터,서울특별시 강서구 초록마을로15길 12,서울특별시 강서구 화곡동 산41-16,강서구립봉제산어르신복지센터,02-2605-1553,강서구립봉제산어르신복지센터,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:30-12:30),월+화+수+목+금+토,2011-01-26,,37.54152453,126.8514084,2025-02-11,3150000,서울특별시 강서구
33,387,강서구립곰달래어르신복지센터,서울특별시 강서구 강서로5길 50,서울특별시 강서구 화곡동 890,강서구립곰달래어르신복지센터,02-2699-8264,강서구립곰달래어르신복지센터,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:30-13:00),월+화+수+목+금+토,2013-08-12,,37.52905997,126.8488982,2025-02-11,3150000,서울특별시 강서구
34,415,서초구립 양재노인종합복지관,서울특별시 서초구 강남대로30길 73-7,서울특별시 서초구 양재동 7-44,양재노인종합복지관,02-578-1515,지하 1층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금,2024-01-01,2024-12-31,37.48302001,127.040816,2024-07-26,3210000,서울특별시 서초구
35,416,방배노인종합복지관,서울특별시 서초구 방배천로 48,서울특별시 서초구 방배동 455-11,방배노인종합복지관,02-581-7992,지하 1층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금,2024-01-01,2024-12-31,37.48076743,126.982713,2024-07-26,3210000,서울특별시 서초구
36,417,서초구립 중앙노인종합복지관,서울특별시 서초구 서초대로54길 45,서울특별시 서초구 서초동 1666-17,중앙노인종합복지관,02-3474-6080,2층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금,2024-01-01,2024-12-31,37.49232427,127.016811,2024-07-26,3210000,서울특별시 서초구
37,418,서초구립 양재종합사회복지관,서울특별시 서초구 남부순환로 2610,서울특별시 서초구 양재동 11-13,양재종합사회복지관,02-579-4782,지하 1층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금,2024-01-01,2024-12-31,37.48452702,127.036143,2024-07-26,3210000,서울특별시 서초구
38,419,우면종합사회복지관,서울특별시 서초구 바우뫼로7길 11,서울특별시 서초구 우면동 63,우면종합사회복지관,02-577-6321,2층 식당,선정 기준에 부합하는 만60세 이상 어르신,11:30-13:00,월+화+수+목+금,2024-01-01,2024-12-31,37.4698618,127.023866,2024-07-26,3210000,서울특별시 서초구
39,464,서울노인복지센터,서울특별시 종로구 삼일대로 467(경운동),,서울노인복지센터,02-6220-8500,서울노인복지센터,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,중식(12:00-13:00),월+화+수+목+금+토,2001-04-01,2050-12-31,37.57596678,126.985832,2024-08-05,3000000,서울특별시 종로구
40,465,사회복지법인 명휘원,서울특별시 종로구 종로11길 9-20(인사동),,사회복지법인 명휘원,02-739-9300,사회복지법인 명휘원,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,중식(12:00-13:00),월+화+수+목+금+토,2013-04-01,2050-12-31,37.57103284,126.985027,2024-08-05,3000000,서울특별시 종로구
41,483,가양5종합사회복지관,서울특별시 강서구 양천로57길 36,서울특별시 강서구 가양동 1481,가양5종합사회복지관,02-2668-4603,가양5종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:30-12:30),월+화+수+목+금+토,1992-10-27,,37.56462738,126.8535196,2025-02-11,3150000,서울특별시 강서구
42,484,가양7종합사회복지관,서울특별시 강서구 허준로 209,서울특별시 강서구 가양동 1486,가양7종합사회복지관,02-2668-8600,가양7종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:20-12:30),월+화+수+목+금+토,1997-01-31,,37.56173727,126.861591,2025-02-11,3150000,서울특별시 강서구
43,485,방화2종합사회복지관,서울특별시 강서구 방화대로48길 40,서울특별시 강서구 방화3동 839,방화2종합사회복지관,02-2662-6661,방화2종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:15-12:15),월+화+수+목+금+토,1993-11-01,,37.57424491,126.8201677,2025-02-11,3150000,서울특별시 강서구
44,486,방화6종합사회복지관,서울특별시 강서구 금낭화로23길 25,서울특별시 강서구 방화3동 816,방화6종합사회복지관,02-2666-6181,방화6종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:00-12:00),월+화+수+목+금+토,1994-10-01,,37.57813762,126.8112059,2025-02-11,3150000,서울특별시 강서구
45,487,방화11종합사회복지관,서울특별시 강서구 개화동로21길 4,서울특별시 강서구 방화동 851,방화11종합사회복지관,02-2661-0670,방화11종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:00-12:00),월+화+수+목+금+토,1994-06-28,,37.57071896,126.8057278,2025-02-11,3150000,서울특별시 강서구
46,488,발산어르신행복센터,서울특별시 강서구 강서로47길 72,서울특별시 강서구 내발산동 686-8,가양5종합사회복지관,02-2663-4603,발산어르신행복센터,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:20-12:20),월+화+수+목+금+토,2004-12-01,,37.5531514,126.832262,2025-02-11,3150000,서울특별시 강서구
47,489,서울시립강서노인종합복지관,서울특별시 강서구 화곡로61길 85,서울특별시 강서구 등촌동 661-4,서울시립강서노인종합복지관,070-7090-5464,서울시립강서노인종합복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:30-13:00),월+화+수+목+금+토,1999-09-01,,37.55812319,126.8475501,2025-02-11,3150000,서울특별시 강서구
48,520,참좋은친구들,서울특별시 중구 청파로427,서울특별시 중구 중림동 128-109,참좋은친구들,,1층식당,노숙인,중식(11:00~12:00)+석식(18:00~19:00),화+수+목+금+일,2014-11-01,2024-07-26,,,2024-11-21,3010000,서울특별시 중구
49,526,등촌1종합사회복지관,서울특별시 강서구 강서로68길 36,서울특별시 강서구 등촌동 687,등촌1종합사회복지관,02-2658-1010,등촌1종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:10-12:30),월+화+수+목+금+토,1994-10-21,,37.56538547,126.8422562,2025-02-11,3150000,서울특별시 강서구
50,527,등촌4종합사회복지관,서울특별시 강서구 공항대로39길 59,서울특별시 강서구 등촌동 690,등촌4종합사회복지관,02-2658-8800,등촌4종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:15-12:15),월+화+수+목+금+토,1995-06-08,,37.56225807,126.8428966,2025-02-11,3150000,서울특별시 강서구
51,528,등촌7종합사회복지관,서울특별시 강서구 공항대로43길 104,서울특별시 강서구 등촌3동 707,등촌7종합사회복지관,02-2658-6521,등촌7종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:20-12:00),월+화+수+목+금+토,1995-05-22,,37.56023933,126.8516942,2025-02-11,3150000,서울특별시 강서구
52,529,등촌9종합사회복지관,서울특별시 강서구 화곡로63가길 92,서울특별시 강서구 등촌3동 704,등촌9종합사회복지관,02-2658-3330,등촌9종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:00-12:00),월+화+수+목+금+토,1994-11-02,,37.56195043,126.8502089,2025-02-11,3150000,서울특별시 강서구
53,530,가양4종합사회복지관,서울특별시 강서구 양천로57길 37,서울특별시 강서구 가양동 1478,가양4종합사회복지관,02-2668-1231,가양4종합사회복지관,기초생활수급자 등 결식 우려가 있는 60세 이상 저소득 어르신,중식(11:00-12:30),월+화+수+목+금+토,1996-01-02,,37.56593157,126.8520708,2025-02-11,3150000,서울특별시 강서구
54,554,사랑나눔에덴복지,서울특별시 송파구 마천로 204,서울특별시 송파구 오금동 133-16,에덴교회,02-423-4653,시설내,독거노인+노숙자+장애인,조식+중식+석식,월+화+수+목+금+일,2008-03-28,,,,2022-12-15,3230000,서울특별시 송파구
55,624,삼양동종합복지센터,서울특별시 강북구 삼양로 47길 9,,재대한구세군유지재단법인,02-945-1305,삼양동종합복지센터,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:30-12:30),월+화+수+목+금+토,,,37.622945,127.0185329,2024-08-30,3080000,서울특별시 강북구
56,625,운가자비원,서울특별시 강북구 삼양로 112길 5,,운가자비원,02-903-6940,운가자비원,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:30-12:10),월+화+수+목+금+토,,,37.642583,127.016831,2024-08-30,3080000,서울특별시 강북구
57,626,서울특별시농아인협회강북구지부,서울특별시 강북구 한천로 131길 7,,서울농아인협회,02-990-0872,서울특별시농아인협회강북구지부,기초생활수급자+차상위 계층+저소득 독거어르신,중식(12:00-13:00),월+화+수+목+금+토,,,37.6386492,127.0278887,2024-08-30,3080000,서울특별시 강북구
58,627,e한우리 봉사회,서울특별시 강북구 한천로 150길 12,,사회법인 e한우리봉사회,02-991-7909,e한우리 봉사회,기초생활수급자+차상위 계층+저소득 독거어르신,중식(12:00-13:00),월+화+수+목+금+토,,,37.643259,127.023371,2024-08-30,3080000,서울특별시 강북구
59,628,아현노인복지센터,서울특별시 마포구 마포대로 26길 19,서울특별시 마포구 아현동 733-14,사회복지법인 연꽃마을,02-365-3677,경로식당+식사배달,수급자+차상위+기타저소득,중식(11:30~12:30),월+화+수+목+금,2017-01-01,2024-12-31,37.55498128,126.9587653,2024-09-12,3130000,서울특별시 마포구
60,629,이대성산종합사회복지관,서울특별시 마포구 월드컵로 215,서울특별시 마포구 성산동 595,이화여자대학교,02-374-9556,경로식당+식사배달+밑반찬배달,수급자+차상위+기타저소득,중식(11:30~13:00),월+화+수+목+금,2017-01-01,2024-12-31,37.5655,126.9003702,2024-09-12,3130000,서울특별시 마포구
61,630,시립마포노인종합복지관,서울특별시 마포구 서강로 68,서울특별시 마포구 창전동 140,이랜드복지재단,02-333-1040,경로식당+식사배달,수급자+차상위+기타저소득,중식(11:15~13:00),월+화+수+목+금,2017-01-01,2024-12-31,37.5489226,126.9322146,2024-09-12,3130000,서울특별시 마포구
62,631,우리마포복지관,서울특별시 마포구 신촌로 26길 10,서울특별시 마포구 노고산동 1-50,사회복지법인 기아대책,02-358-1000,경로식당,수급자+차상위+기타저소득,중식(11:30~13:00),월+화+수+목+금,2017-01-01,2024-12-31,37.555841,126.942391,2024-09-12,3130000,서울특별시 마포구
63,632,아현실버복지관,서울특별시 마포구 환일길3,서울특별시 마포구 아현동 710,사회복지법인 행복복지재단,02-312-2161,경로식당+밑반찬배달,수급자+차상위+기타저소득,중식(11:20~12:30),월+화+수+목+금,2017-01-01,2024-12-31,37.55746063,126.9603136,2024-09-12,3130000,서울특별시 마포구
64,633,마포노인복지센터,서울특별시 마포구 만리재옛12길 6-2,서울특별시 마포구 공덕동 26-12,기독교대한감리회 사회복지재단,02-365-7775,밑반찬배달,수급자+차상위+기타저소득,배달만 운영,월+화+수+목+금,2017-01-01,2024-12-31,37.5497723,126.959431,2024-09-12,3130000,서울특별시 마포구
65,634,보사노인복지센터,서울특별시 마포구 성미산로 29안길 30 (2층),서울특별시 마포구 연남동 223-91,사단법인 보사동우회,02-3273-6692,밑반찬배달,수급자+차상위+기타저소득,배달만 운영,월+화+수+목+금,2017-01-01,2024-12-31,37.56558779,126.923762,2024-09-12,3130000,서울특별시 마포구
66,635,마포어르신돌봄통합센터,"서울특별시 마포구 마포대로 11길 44-81 (아현동, 2층)",서울특별시 마포구 아현동 770,사회복지법인 상진복지재단,02-325-3850,식사배달+밑반찬배달,수급자+차상위+기타저소득,배달만 운영,월+화+수+목+금,2017-01-01,2024-12-31,37.55212686,126.9512971,2024-09-12,3130000,서울특별시 마포구
67,636,용강노인복지관,서울특별시 마포구 토정로 31길 31,서울특별시 마포구 용강동 504,대한노인회 마포구지회 기독교대한감리회 사회복지재단,02-707-1006,경로식당+밑반찬배달,수급자+차상위+기타저소득,중식(11:30~13:00),월+화+수+목+금,2017-01-01,2024-12-31,37.54232552,126.9428348,2024-09-12,3130000,서울특별시 마포구
68,637,신생명나무교회,서울특별시 마포구 고산18길 10,서울특별시 마포구 대흥동 18-30,(사)해돋는마을,02-742-2970,경로식당,수급자+차상위+기타저소득,중식(11:30~13:00),월+화+수+목+금,2017-01-01,2024-12-31,37.5539134,126.9451634,2024-09-12,3130000,서울특별시 마포구
69,638,염리종합사회복지관,서울특별시 마포구 대흥로 24길 50,서울특별시 마포구 염리동 14-11,사회복지법인 대한사회복지회,02-3276-1800,경로식당,수급자+차상위+기타저소득,중식(11:30~13:00),월+화+수+목+금,2017-01-01,2024-12-31,37.55463836,126.9487477,2024-09-12,3130000,서울특별시 마포구
70,639,사랑의전화종합사회복지관,서울특별시 마포구 만리재로 29,서울특별시 마포구 신공덕동 15-66,사랑의전화 복지재단,02-6371-1054,경로식당+식사배달+밑반찬배달,수급자+차상위+기타저소득,중식(11:30~13:00),월+화+수+목+금,2017-01-01,2024-12-31,37.54477493,126.9545585,2024-09-12,3130000,서울특별시 마포구
71,663,번동3단지종합사회복지관,서울특별시 강북구 오현로208,,기독교 대한성결교회,02-984-6777,번동3단지종합사회복지관,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:30-12:30),월+화+수+목+금+토,,,37.6296739,127.0411557,2024-08-30,3080000,서울특별시 강북구
72,664,번동5단지종합사회복지관,서울특별시 강북구 한천로115길 20,,사회복지법인 혜명복지원,02-981-5077,번동5단지종합사회복지관,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:30-12:00),월+화+수+목+금+토,,,37.63314995,127.0339148,2024-08-30,3080000,서울특별시 강북구
73,665,구세군강북종합사회복지관,서울특별시 강북구 인수봉로 20가길 24,,재대한구세군유지재단법인,02-984-5811,구세군강북종합사회복지관,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:00-12:00),월+화+수+목+금+토,,,37.625687,127.013394,2024-08-30,3080000,서울특별시 강북구
74,666,번동2단지종합사회복지관,서울특별시 강북구 한천로 105길 24,,사회복지법인 원불교 삼동회,02-987-5078,번동2단지종합사회복지관,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:30-12:00),월+화+수+목+금+토,,,37.62760841,127.0448051,2024-08-30,3080000,서울특별시 강북구
75,667,자비의 집,서울특별시 강북구 도봉로29길 90,,자비의집,02-945-4200,자비의 집,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:30-12:30),월+화+수+목+금+토,,,37.6203381,127.023387,2024-08-30,3080000,서울특별시 강북구
76,668,강북장애인종합복지관,서울특별시 강북구 오현로 189,,대한불교 조계종 사회복지재단,02-989-4218,강북장애인종합복지관,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:40-13:00),월+화+수+목+금+토,,,37.628764,127.039059,2024-08-30,3080000,서울특별시 강북구
77,669,시립강북노인종합복지관,서울특별시 강북구 삼양로 92길 40,,대한불교 천태종 복지재단,02-999-9179,시립강북노인종합복지관,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:00-12:30),월+화+수+목+금+토,,,37.635688,127.018757,2024-08-30,3080000,서울특별시 강북구
78,721,서울시특별시지체장애인협회 성북구지회,서울특별시 성북구 화랑로13길 100,서울특별시 성북구 하월곡동 산2-1,서울시특별시지체장애인협회 성북구지회,02-914-2070,관내식당,성북구 거주 저소득 장애인,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,,,2025-02-27,3070000,서울특별시 성북구
79,722,한국교통장애인협회 성북구지회,서울특별시 성북구 동소문로 185,서울특별시 성북구 돈암동 48-24,한국교통장애인협회 성북구지회,,관내식당,성북구 거주 저소득 장애인,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,,,2025-02-27,3070000,서울특별시 성북구
80,764,성북장애인단체연합회,서울특별시 성북구 오패산로3길 95,서울특별시 성북구 하월곡동 70-123,성북장애인단체연합회,02-942-7976,관내식당,성북구 거주 저소득 장애인,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,,,2025-02-27,3070000,서울특별시 성북구
81,765,강동종합사회복지관,서울특별시 강동구 진황도로23길 7,서울특별시 강동구 천호3동 555,강동종합사회복지관,02-0475-4585,강동종합사회복지관,60세 이상의 결식노인,중식(11:30-12:30),월+화+수+목+금,2000-03-01,,37.54004284,127.1297914,2023-08-31,3240000,서울특별시 강동구
82,766,명성복지재단 가나안의 집,서울특별시 강동구 천중로35길 73-7,서울특별시 강동구 천호1동 77-1,명성복지재단 가나안의 집,02-0474-6900,명성복지재단 가나안의 집,60세 이상의 결식노인,중식(11:30-12:30),월+화+수+목+금,2004-06-01,,37.54459763,127.1379691,2023-08-31,3240000,서울특별시 강동구
83,767,해공노인복지관,서울특별시 강동구 천중로17길 42-16,서울특별시 강동구 천호2동 302-4,해공노인복지관,02-0478-0601,해공노인복지관,60세 이상의 결식노인,중식(11:30-12:30),월+화+수+목+금,2011-09-01,,37.54620984,127.1317001,2023-08-31,3240000,서울특별시 강동구
